url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,genre,gender
http://www.billboard.com/charts/hot-100/1966-03-19,1966-03-19,8,Homeward Bound,Simon & Garfunkel,Homeward BoundSimon & Garfunkel,1,10,8,6,Rock,Male
http://www.billboard.com/charts/hot-100/1976-07-17,1976-07-17,8,Got To Get You Into My Life,The Beatles,Got To Get You Into My LifeThe Beatles,1,10,8,6,Rock,Male
http://www.billboard.com/charts/hot-100/1963-09-21,1963-09-21,8,Mickey's Monkey,The Miracles,Mickey's MonkeyThe Miracles,1,15,8,6,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1967-12-16,1967-12-16,9,In And Out Of Love,Diana Ross & The Supremes,In And Out Of LoveDiana Ross & The Supremes,1,9,9,6,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2000-12-16,2000-12-16,9,Ms. Jackson,OutKast,Ms. JacksonOutKast,1,12,9,6,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1965-06-19,1965-06-19,9,For Your Love,The Yardbirds,For Your LoveThe Yardbirds,1,13,9,6,Rock,Male
http://www.billboard.com/charts/hot-100/2004-04-24,2004-04-24,10,My Band,D12,My BandD12,1,15,10,6,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1966-06-04,1966-06-04,11,Love Is Like An Itching In My Heart,The Supremes,Love Is Like An Itching In My HeartThe Supremes,1,9,9,6,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1966-10-01,1966-10-01,11,Eleanor Rigby,The Beatles,Eleanor RigbyThe Beatles,1,11,11,6,Rock,Male
http://www.billboard.com/charts/hot-100/1965-09-04,1965-09-04,11,Nothing But Heartaches,The Supremes,Nothing But HeartachesThe Supremes,1,13,11,6,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1987-05-30,1987-05-30,11,In Too Deep,Genesis,In Too DeepGenesis,1,16,11,6,Rock,Male
http://www.billboard.com/charts/hot-100/1969-03-01,1969-03-01,12,I'm Livin' In Shame,Diana Ross & The Supremes,I'm Livin' In ShameDiana Ross & The Supremes,1,10,10,6,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1972-05-27,1972-05-27,13,Little Bitty Pretty One,Jackson 5,Little Bitty Pretty OneJackson 5,1,15,13,6,Pop,Male
http://www.billboard.com/charts/hot-100/1992-06-06,1992-06-06,14,Hold On My Heart,Genesis,Hold On My HeartGenesis,1,17,14,6,Rock,Male
http://www.billboard.com/charts/hot-100/1985-08-31,1985-08-31,14,Freedom,Wham!,FreedomWham!,1,19,14,6,Pop,Male
http://www.billboard.com/charts/hot-100/1996-08-31,1996-08-31,15,Elevators (Me & You),OutKast,Elevators (Me & You)OutKast,1,13,12,6,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1964-03-14,1964-03-14,15,I Saw Her Standing There,The Beatles,I Saw Her Standing ThereThe Beatles,1,18,15,6,Rock,Male
http://www.billboard.com/charts/hot-100/1975-11-22,1975-11-22,15,My Little Town,Simon & Garfunkel,My Little TownSimon & Garfunkel,1,19,15,6,Rock,Male
http://www.billboard.com/charts/hot-100/1992-03-07,1992-03-07,15,I Can't Dance,Genesis,I Can't DanceGenesis,1,21,15,6,Rock,Male
http://www.billboard.com/charts/hot-100/2000-10-28,2000-10-28,15,Independent Women Part I,Destiny's Child,Independent Women Part IDestiny's Child,1,23,15,6,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2002-03-16,2002-03-16,16,Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,1,18,16,6,Pop,Male
http://www.billboard.com/charts/hot-100/1985-04-27,1985-04-27,16,Everything She Wants,Wham!,Everything She WantsWham!,1,19,16,6,Pop,Male
http://www.billboard.com/charts/hot-100/2002-05-25,2002-05-25,16,Hella Good,No Doubt,Hella GoodNo Doubt,1,22,16,6,Pop,Coed
http://www.billboard.com/charts/hot-100/1969-12-20,1969-12-20,17,I Want You Back,Jackson 5,I Want You BackJackson 5,1,19,17,6,Pop,Male
http://www.billboard.com/charts/hot-100/1975-03-22,1975-03-22,17,Once You Get Started,Rufus Featuring Chaka Khan,Once You Get StartedRufus Featuring Chaka Khan,1,23,17,6,R&B/Hip Hop,Coed
http://www.billboard.com/charts/hot-100/1998-04-11,1998-04-11,18,I Want You Back,'N Sync,I Want You Back'N Sync,1,17,17,6,Pop,Male
http://www.billboard.com/charts/hot-100/1964-10-10,1964-10-10,18,Matchbox,The Beatles,MatchboxThe Beatles,1,18,18,6,Rock,Male
http://www.billboard.com/charts/hot-100/2003-12-06,2003-12-06,18,It's My Life,No Doubt,It's My LifeNo Doubt,1,24,18,6,Pop,Coed
http://www.billboard.com/charts/hot-100/1968-03-30,1968-03-30,18,If You Can Want,Smokey Robinson & The Miracles,If You Can WantSmokey Robinson & The Miracles,1,25,18,6,R&B/Hip Hop,Male
