week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,collab,genre,gender,parent_group
1982-10-09,54,Muscles,Diana Ross,MusclesDiana Ross,1,61,54,2,No,R&B/Hip Hop,Female,The Supremes
1987-10-31,54,Got My Mind Set On You,George Harrison,Got My Mind Set On YouGeorge Harrison,1,66,54,2,No,Rock,Male,The Eagles
1989-06-03,54,My Brave Face,Paul McCartney,My Brave FacePaul McCartney,1,72,54,2,No,Rock,Male,The Eagles
2001-05-05,54,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,Let Me Blow Ya MindEve Featuring Gwen Stefani,1,80,54,2,Yes,Pop,Female,No Doubt
2000-01-29,55,Forgot About Dre,Dr. Dre Featuring Eminem,Forgot About DreDr. Dre Featuring Eminem,1,75,55,2,Yes,R&B/Hip Hop,Male,D12
2005-11-12,55,Luxurious,Gwen Stefani,LuxuriousGwen Stefani,1,80,55,2,No,Pop,Female,No Doubt
2015-12-12,55,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,I Know What You Did Last SummerShawn Mendes & Camila Cabello,1,97,55,2,Yes,Pop,Female,Fifth Harmony
1975-08-23,56,Gone At Last,Paul Simon/Phoebe Snow,Gone At LastPaul Simon/Phoebe Snow,1,67,56,2,Yes,Rock,Male,Simon & Garfunkel
1974-01-12,56,Last Time I Saw Him,Diana Ross,Last Time I Saw HimDiana Ross,1,70,56,2,No,R&B/Hip Hop,Female,The Supremes
1986-03-01,56,I Think It's Love,Jermaine Jackson,I Think It's LoveJermaine Jackson,1,74,56,2,No,Pop,Male,Jackson 5
2006-12-30,56,Hip Hop Is Dead,Nas Featuring will.i.am,Hip Hop Is DeadNas Featuring will.i.am,1,76,56,2,Yes,Pop,Male,The Black Eyed Peas
1973-05-26,57,Kodachrome,Paul Simon,KodachromePaul Simon,1,82,57,2,No,Rock,Male,Simon & Garfunkel
2005-04-09,57,Hollaback Girl,Gwen Stefani,Hollaback GirlGwen Stefani,1,82,57,2,No,Pop,Female,No Doubt
1989-11-25,57,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,I'll Be Good To YouQuincy Jones Featuring Ray Charles & Chaka Khan,1,86,57,2,Yes,R&B/Hip Hop,Female,Rufus
2007-09-01,57,I Got It From My Mama,will.i.am,I Got It From My Mamawill.i.am,1,93,57,2,No,Pop,Male,The Black Eyed Peas
2018-03-10,58,Love Lies,Khalid & Normani,Love LiesKhalid & Normani,1,43,43,2,Yes,Pop,Female,Fifth Harmony
2004-11-27,58,Encore,"Eminem, Dr. Dre & 50 Cent","EncoreEminem, Dr. Dre & 50 Cent",1,60,58,2,Yes,R&B/Hip Hop,Male,D12
1984-09-15,58,I Feel For You,Chaka Khan,I Feel For YouChaka Khan,1,73,58,2,No,R&B/Hip Hop,Female,Rufus
2009-06-27,58,Ego,Beyonce,EgoBeyonce,1,77,58,2,No,R&B/Hip Hop,Female,Destiny's Child
1975-02-15,58,No No Song/snookeroo,Ringo Starr,No No Song/snookerooRingo Starr,1,78,58,2,No,Rock,Male,The Eagles
1992-10-10,58,Layla,Eric Clapton,LaylaEric Clapton,1,79,58,2,No,Rock,Male,Yardbirds
1984-06-02,58,Farewell My Summer Love,Michael Jackson,Farewell My Summer LoveMichael Jackson,1,81,58,2,No,Pop,Male,Jackson 5
2015-01-10,59,Feeling Myself,Nicki Minaj Featuring Beyonce,Feeling MyselfNicki Minaj Featuring Beyonce,1,43,43,2,Yes,R&B/Hip Hop,Female,Destiny's Child
2008-05-17,59,Love In This Club Part II,Usher Featuring Beyonce & Lil Wayne,Love In This Club Part IIUsher Featuring Beyonce & Lil Wayne,1,79,59,2,Yes,R&B/Hip Hop,Female,Destiny's Child
2005-02-05,60,Like Toy Soldiers,Eminem,Like Toy SoldiersEminem,1,64,60,2,No,R&B/Hip Hop,Male,D12
1976-10-23,60,Hello Old Friend,Eric Clapton,Hello Old FriendEric Clapton,1,70,60,2,No,Rock,Male,Yardbirds
1973-11-17,60,MIND GAMES,John Lennon,MIND GAMESJohn Lennon,1,76,60,2,No,Rock,Male,The Eagles
2006-04-08,60,Hips Don't Lie,Shakira Featuring Wyclef Jean,Hips Don't LieShakira Featuring Wyclef Jean,1,84,60,2,Yes,R&B/Hip Hop,Male,The Fugees
1971-01-16,60,Mother,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,MotherJohn Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,1,87,60,2,Yes,Rock,Male,The Eagles
2009-02-14,60,Halo,Beyonce,HaloBeyonce,1,93,60,2,No,R&B/Hip Hop,Female,Destiny's Child
1978-01-14,61,Lay Down Sally,Eric Clapton,Lay Down SallyEric Clapton,1,75,61,2,No,Rock,Male,Yardbirds
1969-08-09,61,Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,Goo Goo Barabajagal (Love Is Hot)Donovan/Jeff Beck Group,1,86,61,2,Yes,Rock,Male,Yardbirds
1973-04-21,62,My Love,Paul McCartney And Wings,My LovePaul McCartney And Wings,1,73,62,2,Yes,Rock,Male,The Eagles
1992-12-19,62,Heal The World,Michael Jackson,Heal The WorldMichael Jackson,1,74,62,2,No,Pop,Male,Jackson 5
1974-07-20,62,I Shot The Sheriff,Eric Clapton,I Shot The SheriffEric Clapton,1,76,62,2,No,Rock,Male,Yardbirds
1993-02-27,62,If I Ever Lose My Faith In You,Sting,If I Ever Lose My Faith In YouSting,1,77,62,2,No,Rock,Male,The Eagles
